Date,RBA Interest Rate,Inflation,,,
19/10/10,0.045,0.029
18/10/10,0.045,0.029
15/10/10,0.045,0.029
14/10/10,0.045,0.029
13/10/10,0.045,0.029
12/10/10,0.045,0.029
11/10/10,0.045,0.029
8/10/10,0.045,0.029
7/10/10,0.045,0.029
6/10/10,0.045,0.029
5/10/10,0.045,0.029
4/10/10,0.045,0.029
1/10/10,0.045,0.029
30/09/10,0.045,0.029
29/09/10,0.045,0.029
28/09/10,0.045,0.029
27/09/10,0.045,0.029
24/09/10,0.045,0.029
23/09/10,0.045,0.029
22/09/10,0.045,0.029
21/09/10,0.045,0.029
20/09/10,0.045,0.029
17/09/10,0.045,0.029
16/09/10,0.045,0.029
